Frequency (MHz),Port 1 Out (dB),Port 1 In (dB),Port 2 Out (dB),Port 2 In (dB),Port 3 Out (dB),Port 3 In (dB),Port 4 Out (dB),Port 4 In (dB)
1452.1,0,0,0,0,0,0,0,0
1452.9,0,0,0,0,0,0,0,0
1453.7,0,0,0,0,0,0,0,0
1454.5,0,0,0,0,0,0,0,0
1455.3,0,0,0,0,0,0,0,0
1456.1,0,0,0,0,0,0,0,0
1456.9,0,0,0,0,0,0,0,0
1457.7,0,0,0,0,0,0,0,0
1458.5,0,0,0,0,0,0,0,0
1459.3,0,0,0,0,0,0,0,0
1460.1,0,0,0,0,0,0,0,0
1460.9,0,0,0,0,0,0,0,0
1496.9,0,0,0,0,0,0,0,0
1497.7,0,0,0,0,0,0,0,0
1498.5,0,0,0,0,0,0,0,0
1499.3,0,0,0,0,0,0,0,0
1500.1,0,0,0,0,0,0,0,0
1500.9,0,0,0,0,0,0,0,0
1501.7,0,0,0,0,0,0,0,0
1502.5,0,0,0,0,0,0,0,0
1503.3,0,0,0,0,0,0,0,0
1504.1,0,0,0,0,0,0,0,0
1504.9,0,0,0,0,0,0,0,0
1505.7,0,0,0,0,0,0,0,0
1506.5,0,0,0,0,0,0,0,0
1507.3,0,0,0,0,0,0,0,0
1508.1,0,0,0,0,0,0,0,0
1508.9,0,0,0,0,0,0,0,0
1710,0,0,0,0,0,0,0,0
1710.2,0,0,0,0,0,0,0,0
1710.7,0,0,0,0,0,0,0,0
1712.4,0,0,0,0,0,0,0,0
1713,0,0,0,0,0,0,0,0
1715.2,0,0,0,0,0,0,0,0
1716,0,0,0,0,0,0,0,0
1716.2,0,0,0,0,0,0,0,0
1716.5,0,0,0,0,0,0,0,0
1718.8,0,0,0,0,0,0,0,0
1719,0,0,0,0,0,0,0,0
1720.2,0,0,0,0,0,0,0,0
1721.2,0,0,0,0,0,0,0,0
1722,0,0,0,0,0,0,0,0
1722.2,0,0,0,0,0,0,0,0
1723.8,0,0,0,0,0,0,0,0
1725,0,0,0,0,0,0,0,0
1725.2,0,0,0,0,0,0,0,0
1726.4,0,0,0,0,0,0,0,0
1727.5,0,0,0,0,0,0,0,0
1728,0,0,0,0,0,0,0,0
1728.8,0,0,0,0,0,0,0,0
1730.2,0,0,0,0,0,0,0,0
1731,0,0,0,0,0,0,0,0
1732.4,0,0,0,0,0,0,0,0
1732.5,0,0,0,0,0,0,0,0
1733.8,0,0,0,0,0,0,0,0
1735.2,0,0,0,0,0,0,0,0
1736.4,0,0,0,0,0,0,0,0
1737,0,0,0,0,0,0,0,0
1737.5,0,0,0,0,0,0,0,0
1738.8,0,0,0,0,0,0,0,0
1740,0,0,0,0,0,0,0,0
1740.2,0,0,0,0,0,0,0,0
1741.4,0,0,0,0,0,0,0,0
1742.5,0,0,0,0,0,0,0,0
1743,0,0,0,0,0,0,0,0
1744,0,0,0,0,0,0,0,0
1745.2,0,0,0,0,0,0,0,0
1746,0,0,0,0,0,0,0,0
1746.4,0,0,0,0,0,0,0,0
1747.5,0,0,0,0,0,0,0,0
1749,0,0,0,0,0,0,0,0
1750.2,0,0,0,0,0,0,0,0
1752,0,0,0,0,0,0,0,0
1752.1,0,0,0,0,0,0,0,0
1752.6,0,0,0,0,0,0,0,0
1754.9,0,0,0,0,0,0,0,0
1755.2,0,0,0,0,0,0,0,0
1756.7,0,0,0,0,0,0,0,0
1760.2,0,0,0,0,0,0,0,0
1761.3,0,0,0,0,0,0,0,0
1765.2,0,0,0,0,0,0,0,0
1765.9,0,0,0,0,0,0,0,0
1770.2,0,0,0,0,0,0,0,0
1770.5,0,0,0,0,0,0,0,0
1775.1,0,0,0,0,0,0,0,0
1775.2,0,0,0,0,0,0,0,0
1779.7,0,0,0,0,0,0,0,0
1780.2,0,0,0,0,0,0,0,0
1784.3,0,0,0,0,0,0,0,0
1784.8,0,0,0,0,0,0,0,0
1805.2,0,0,0,0,0,0,0,0
1805.7,0,0,0,0,0,0,0,0
1810.2,0,0,0,0,0,0,0,0
1811.5,0,0,0,0,0,0,0,0
1815.2,0,0,0,0,0,0,0,0
1817.2,0,0,0,0,0,0,0,0
1820.2,0,0,0,0,0,0,0,0
1822.5,0,0,0,0,0,0,0,0
1825.2,0,0,0,0,0,0,0,0
1827.5,0,0,0,0,0,0,0,0
1830.2,0,0,0,0,0,0,0,0
1832.5,0,0,0,0,0,0,0,0
1835.2,0,0,0,0,0,0,0,0
1837.5,0,0,0,0,0,0,0,0
1840.2,0,0,0,0,0,0,0,0
1842.5,0,0,0,0,0,0,0,0
1845.2,0,0,0,0,0,0,0,0
1847.1,0,0,0,0,0,0,0,0
1850,0,0,0,0,0,0,0,0
1850.2,0,0,0,0,0,0,0,0
1851.3,0,0,0,0,0,0,0,0
1851.7,0,0,0,0,0,0,0,0
1852,0,0,0,0,0,0,0,0
1854.2,0,0,0,0,0,0,0,0
1854.3,0,0,0,0,0,0,0,0
1855.2,0,0,0,0,0,0,0,0
1855.7,0,0,0,0,0,0,0,0
1856.3,0,0,0,0,0,0,0,0
1857.6,0,0,0,0,0,0,0,0
1858.2,0,0,0,0,0,0,0,0
1858.7,0,0,0,0,0,0,0,0
1859.4,0,0,0,0,0,0,0,0
1860.2,0,0,0,0,0,0,0,0
1860.9,0,0,0,0,0,0,0,0
1861.2,0,0,0,0,0,0,0,0
1862.2,0,0,0,0,0,0,0,0
1863,0,0,0,0,0,0,0,0
1863.1,0,0,0,0,0,0,0,0
1863.2,0,0,0,0,0,0,0,0
1864.6,0,0,0,0,0,0,0,0
1865.2,0,0,0,0,0,0,0,0
1865.5,0,0,0,0,0,0,0,0
1866.2,0,0,0,0,0,0,0,0
1866.8,0,0,0,0,0,0,0,0
1866.9,0,0,0,0,0,0,0,0
1867.3,0,0,0,0,0,0,0,0
1868.2,0,0,0,0,0,0,0,0
1870.1,0,0,0,0,0,0,0,0
1870.2,0,0,0,0,0,0,0,0
1870.5,0,0,0,0,0,0,0,0
1870.7,0,0,0,0,0,0,0,0
1871.6,0,0,0,0,0,0,0,0
1874.2,0,0,0,0,0,0,0,0
1874.4,0,0,0,0,0,0,0,0
1874.7,0,0,0,0,0,0,0,0
1875.2,0,0,0,0,0,0,0,0
1876,0,0,0,0,0,0,0,0
1878.2,0,0,0,0,0,0,0,0
1879.3,0,0,0,0,0,0,0,0
1879.8,0,0,0,0,0,0,0,0
1880,0,0,0,0,0,0,0,0
1880.3,0,0,0,0,0,0,0,0
1881.9,0,0,0,0,0,0,0,0
1882.2,0,0,0,0,0,0,0,0
1882.5,0,0,0,0,0,0,0,0
1884.6,0,0,0,0,0,0,0,0
1885.3,0,0,0,0,0,0,0,0
1885.6,0,0,0,0,0,0,0,0
1885.7,0,0,0,0,0,0,0,0
1886.2,0,0,0,0,0,0,0,0
1888.9,0,0,0,0,0,0,0,0
1889,0,0,0,0,0,0,0,0
1889.2,0,0,0,0,0,0,0,0
1889.4,0,0,0,0,0,0,0,0
1890.2,0,0,0,0,0,0,0,0
1892.6,0,0,0,0,0,0,0,0
1892.7,0,0,0,0,0,0,0,0
1893.2,0,0,0,0,0,0,0,0
1893.3,0,0,0,0,0,0,0,0
1894.2,0,0,0,0,0,0,0,0
1896.2,0,0,0,0,0,0,0,0
1896.4,0,0,0,0,0,0,0,0
1896.9,0,0,0,0,0,0,0,0
1897.6,0,0,0,0,0,0,0,0
1898.2,0,0,0,0,0,0,0,0
1899.6,0,0,0,0,0,0,0,0
1900.1,0,0,0,0,0,0,0,0
1900.7,0,0,0,0,0,0,0,0
1901.9,0,0,0,0,0,0,0,0
1902.2,0,0,0,0,0,0,0,0
1903.2,0,0,0,0,0,0,0,0
1903.8,0,0,0,0,0,0,0,0
1904.4,0,0,0,0,0,0,0,0
1906.2,0,0,0,0,0,0,0,0
1906.6,0,0,0,0,0,0,0,0
1907.5,0,0,0,0,0,0,0,0
1908.8,0,0,0,0,0,0,0,0
1909.8,0,0,0,0,0,0,0,0
1910.6,0,0,0,0,0,0,0,0
1914.9,0,0,0,0,0,0,0,0
1920.1,0,0,0,0,0,0,0,0
1923.8,0,0,0,0,0,0,0,0
1924.2,0,0,0,0,0,0,0,0
1927.6,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,0,0
1930.2,0,0,0,0,0,0,0,0
1931.2,0,0,0,0,0,0,0,0
1931.3,0,0,0,0,0,0,0,0
1931.4,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,0
1934.2,0,0,0,0,0,0,0,0
1934.3,0,0,0,0,0,0,0,0
1934.6,0,0,0,0,0,0,0,0
1935.2,0,0,0,0,0,0,0,0
1935.7,0,0,0,0,0,0,0,0
1937.6,0,0,0,0,0,0,0,0
1938.2,0,0,0,0,0,0,0,0
1938.7,0,0,0,0,0,0,0,0
1939,0,0,0,0,0,0,0,0
1939.4,0,0,0,0,0,0,0,0
1941.2,0,0,0,0,0,0,0,0
1941.6,0,0,0,0,0,0,0,0
1942.2,0,0,0,0,0,0,0,0
1942.8,0,0,0,0,0,0,0,0
1943,0,0,0,0,0,0,0,0
1943.1,0,0,0,0,0,0,0,0
1943.2,0,0,0,0,0,0,0,0
1944.6,0,0,0,0,0,0,0,0
1945.2,0,0,0,0,0,0,0,0
1946.2,0,0,0,0,0,0,0,0
1946.6,0,0,0,0,0,0,0,0
1946.8,0,0,0,0,0,0,0,0
1946.9,0,0,0,0,0,0,0,0
1947.3,0,0,0,0,0,0,0,0
1948.2,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0
1950.2,0,0,0,0,0,0,0,0
1950.5,0,0,0,0,0,0,0,0
1950.7,0,0,0,0,0,0,0,0
1951.6,0,0,0,0,0,0,0,0
1952.2,0,0,0,0,0,0,0,0
1954.2,0,0,0,0,0,0,0,0
1954.4,0,0,0,0,0,0,0,0
1955.2,0,0,0,0,0,0,0,0
1955.6,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0
1958.2,0,0,0,0,0,0,0,0
1959.2,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0
1960.3,0,0,0,0,0,0,0,0
1961.8,0,0,0,0,0,0,0,0
1961.9,0,0,0,0,0,0,0,0
1962.2,0,0,0,0,0,0,0,0
1962.5,0,0,0,0,0,0,0,0
1962.6,0,0,0,0,0,0,0,0
1964.6,0,0,0,0,0,0,0,0
1965.3,0,0,0,0,0,0,0,0
1965.6,0,0,0,0,0,0,0,0
1965.7,0,0,0,0,0,0,0,0
1966.2,0,0,0,0,0,0,0,0
1968.9,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0
1969.2,0,0,0,0,0,0,0,0
1969.4,0,0,0,0,0,0,0,0
1969.6,0,0,0,0,0,0,0,0
1970.2,0,0,0,0,0,0,0,0
1972.6,0,0,0,0,0,0,0,0
1972.7,0,0,0,0,0,0,0,0
1973.2,0,0,0,0,0,0,0,0
1973.3,0,0,0,0,0,0,0,0
1974.2,0,0,0,0,0,0,0,0
1976.2,0,0,0,0,0,0,0,0
1976.4,0,0,0,0,0,0,0,0
1976.6,0,0,0,0,0,0,0,0
1976.9,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0
1977.6,0,0,0,0,0,0,0,0
1978.2,0,0,0,0,0,0,0,0
1979.6,0,0,0,0,0,0,0,0
1980.1,0,0,0,0,0,0,0,0
1980.7,0,0,0,0,0,0,0,0
1981.9,0,0,0,0,0,0,0,0
1982.2,0,0,0,0,0,0,0,0
1983.2,0,0,0,0,0,0,0,0
1983.8,0,0,0,0,0,0,0,0
1984.4,0,0,0,0,0,0,0,0
1986.2,0,0,0,0,0,0,0,0
1986.6,0,0,0,0,0,0,0,0
1987.5,0,0,0,0,0,0,0,0
1988.8,0,0,0,0,0,0,0,0
1989.8,0,0,0,0,0,0,0,0
1990.6,0,0,0,0,0,0,0,0
1994.9,0,0,0,0,0,0,0,0
2110,0,0,0,0,0,0,0,0
2110.1,0,0,0,0,0,0,0,0
2112.4,0,0,0,0,0,0,0,0
2113,0,0,0,0,0,0,0,0
2113.8,0,0,0,0,0,0,0,0
2114.2,0,0,0,0,0,0,0,0
2116,0,0,0,0,0,0,0,0
2116.2,0,0,0,0,0,0,0,0
2117.6,0,0,0,0,0,0,0,0
2118.8,0,0,0,0,0,0,0,0
2119,0,0,0,0,0,0,0,0
2121.2,0,0,0,0,0,0,0,0
2121.4,0,0,0,0,0,0,0,0
2122,0,0,0,0,0,0,0,0
2123.8,0,0,0,0,0,0,0,0
2124.6,0,0,0,0,0,0,0,0
2125,0,0,0,0,0,0,0,0
2125.2,0,0,0,0,0,0,0,0
2126.4,0,0,0,0,0,0,0,0
2128,0,0,0,0,0,0,0,0
2128.2,0,0,0,0,0,0,0,0
2128.8,0,0,0,0,0,0,0,0
2129,0,0,0,0,0,0,0,0
2131,0,0,0,0,0,0,0,0
2131.6,0,0,0,0,0,0,0,0
2132.4,0,0,0,0,0,0,0,0
2132.5,0,0,0,0,0,0,0,0
2132.8,0,0,0,0,0,0,0,0
2133.8,0,0,0,0,0,0,0,0
2135.2,0,0,0,0,0,0,0,0
2136.4,0,0,0,0,0,0,0,0
2136.6,0,0,0,0,0,0,0,0
2137,0,0,0,0,0,0,0,0
2138.8,0,0,0,0,0,0,0,0
2140,0,0,0,0,0,0,0,0
2141.4,0,0,0,0,0,0,0,0
2142.2,0,0,0,0,0,0,0,0
2143,0,0,0,0,0,0,0,0
2144,0,0,0,0,0,0,0,0
2144.2,0,0,0,0,0,0,0,0
2145.6,0,0,0,0,0,0,0,0
2146,0,0,0,0,0,0,0,0
2146.4,0,0,0,0,0,0,0,0
2148,0,0,0,0,0,0,0,0
2149,0,0,0,0,0,0,0,0
2149.2,0,0,0,0,0,0,0,0
2151.8,0,0,0,0,0,0,0,0
2152,0,0,0,0,0,0,0,0
2152.6,0,0,0,0,0,0,0,0
2154.9,0,0,0,0,0,0,0,0
2155.6,0,0,0,0,0,0,0,0
2156.2,0,0,0,0,0,0,0,0
2159.4,0,0,0,0,0,0,0,0
2159.6,0,0,0,0,0,0,0,0
2163.2,0,0,0,0,0,0,0,0
2166.6,0,0,0,0,0,0,0,0
2167,0,0,0,0,0,0,0,0
2300,0,0,0,0,0,0,0,0
2306.6,0,0,0,0,0,0,0,0
2313.2,0,0,0,0,0,0,0,0
2319.8,0,0,0,0,0,0,0,0
2326.4,0,0,0,0,0,0,0,0
2333,0,0,0,0,0,0,0,0
2339.6,0,0,0,0,0,0,0,0
2346.2,0,0,0,0,0,0,0,0
2352.8,0,0,0,0,0,0,0,0
2359.4,0,0,0,0,0,0,0,0
2366,0,0,0,0,0,0,0,0
2372.6,0,0,0,0,0,0,0,0
2379.2,0,0,0,0,0,0,0,0
2385.8,0,0,0,0,0,0,0,0
2392.4,0,0,0,0,0,0,0,0
2399,0,0,0,0,0,0,0,0
2412,0,0,0,0,0,0,0,0
2437,0,0,0,0,0,0,0,0
2462,0,0,0,0,0,0,0,0
2500,0,0,0,0,0,0,0,0
2501,0,0,0,0,0,0,0,0
2504.4,0,0,0,0,0,0,0,0
2508.8,0,0,0,0,0,0,0,0
2513.2,0,0,0,0,0,0,0,0
2517.6,0,0,0,0,0,0,0,0
2522,0,0,0,0,0,0,0,0
2524,0,0,0,0,0,0,0,0
2526.4,0,0,0,0,0,0,0,0
2530.8,0,0,0,0,0,0,0,0
2535.2,0,0,0,0,0,0,0,0
2535.5,0,0,0,0,0,0,0,0
2539.6,0,0,0,0,0,0,0,0
2544,0,0,0,0,0,0,0,0
2547,0,0,0,0,0,0,0,0
2548.4,0,0,0,0,0,0,0,0
2552.8,0,0,0,0,0,0,0,0
2557.2,0,0,0,0,0,0,0,0
2559,0,0,0,0,0,0,0,0
2561.6,0,0,0,0,0,0,0,0
2566,0,0,0,0,0,0,0,0
2570,0,0,0,0,0,0,0,0
2573.3,0,0,0,0,0,0,0,0
2576.6,0,0,0,0,0,0,0,0
2579.9,0,0,0,0,0,0,0,0
2581.5,0,0,0,0,0,0,0,0
2583.2,0,0,0,0,0,0,0,0
2586.5,0,0,0,0,0,0,0,0
2589.8,0,0,0,0,0,0,0,0
2593,0,0,0,0,0,0,0,0
2593.1,0,0,0,0,0,0,0,0
2596.4,0,0,0,0,0,0,0,0
2599.7,0,0,0,0,0,0,0,0
2603,0,0,0,0,0,0,0,0
2604.5,0,0,0,0,0,0,0,0
2606.3,0,0,0,0,0,0,0,0
2609.6,0,0,0,0,0,0,0,0
2612.9,0,0,0,0,0,0,0,0
2616,0,0,0,0,0,0,0,0
2616.2,0,0,0,0,0,0,0,0
2619.5,0,0,0,0,0,0,0,0
2620,0,0,0,0,0,0,0,0
2624.4,0,0,0,0,0,0,0,0
2627.5,0,0,0,0,0,0,0,0
2628.8,0,0,0,0,0,0,0,0
2633.2,0,0,0,0,0,0,0,0
2637.6,0,0,0,0,0,0,0,0
2639,0,0,0,0,0,0,0,0
2642,0,0,0,0,0,0,0,0
2646.4,0,0,0,0,0,0,0,0
2650.5,0,0,0,0,0,0,0,0
2650.8,0,0,0,0,0,0,0,0
2655.2,0,0,0,0,0,0,0,0
2659.6,0,0,0,0,0,0,0,0
2662,0,0,0,0,0,0,0,0
2664,0,0,0,0,0,0,0,0
2668.4,0,0,0,0,0,0,0,0
2672.8,0,0,0,0,0,0,0,0
2673.5,0,0,0,0,0,0,0,0
2677.2,0,0,0,0,0,0,0,0
2681.6,0,0,0,0,0,0,0,0
2685,0,0,0,0,0,0,0,0
2686,0,0,0,0,0,0,0,0
5180,0,0,0,0,0,0,0,0
5500,0,0,0,0,0,0,0,0
5825,0,0,0,0,0,0,0,0
